"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","16-Mar-2026","1,254.80","1,255.00","1,276.80","1,240.10","1,267.60","1,272.90","1,261.00","2,27,40,688","28,67,59,65,063.50","2,64,944","1,31,12,471","57.66"
"ICICIBANK","EQ","13-Mar-2026","1,266.50","1,251.90","1,262.30","1,248.70","1,255.00","1,254.80","1,254.83","1,73,44,394","21,76,42,18,501.60","2,48,517","1,05,65,554","60.92"
"ICICIBANK","EQ","12-Mar-2026","1,294.60","1,275.70","1,280.50","1,258.30","1,269.90","1,266.50","1,270.55","1,96,76,187","24,99,95,30,425.90","3,35,143","1,02,59,179","52.14"
"ICICIBANK","EQ","11-Mar-2026","1,311.90","1,300.00","1,306.50","1,290.90","1,292.00","1,294.60","1,297.44","1,32,24,259","17,15,77,29,375.10","2,65,729","69,77,904","52.77"
"ICICIBANK","EQ","10-Mar-2026","1,278.40","1,287.60","1,315.00","1,285.60","1,312.80","1,311.90","1,304.25","1,91,36,143","24,95,83,13,823.40","3,18,391","91,04,535","47.58"
"ICICIBANK","EQ","09-Mar-2026","1,313.40","1,272.70","1,282.70","1,251.10","1,275.00","1,278.40","1,271.54","1,61,16,652","20,49,29,13,753.00","3,21,194","92,26,113","57.25"
"ICICIBANK","EQ","06-Mar-2026","1,357.60","1,339.00","1,357.60","1,310.40","1,315.10","1,313.40","1,322.85","2,27,78,852","30,13,28,94,838.80","3,96,209","1,36,81,690","60.06"
"ICICIBANK","EQ","05-Mar-2026","1,365.40","1,368.90","1,370.80","1,347.60","1,353.30","1,357.60","1,356.94","1,75,90,491","23,86,92,37,214.50","2,14,379","76,33,505","43.40"
"ICICIBANK","EQ","04-Mar-2026","1,374.00","1,326.00","1,376.00","1,326.00","1,368.50","1,365.40","1,355.31","2,00,09,132","27,11,85,32,926.00","5,02,432","1,25,65,957","62.80"
"ICICIBANK","EQ","02-Mar-2026","1,378.90","1,355.00","1,379.20","1,355.00","1,374.80","1,374.00","1,369.59","1,69,28,683","23,18,53,56,350.40","3,08,886","83,52,909","49.34"
"ICICIBANK","EQ","27-Feb-2026","1,404.90","1,400.00","1,402.20","1,376.70","1,379.40","1,378.90","1,385.66","1,50,96,898","20,91,91,49,418.30","1,71,296","1,15,27,766","76.36"
