underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1420.0,30-06-2026,PUT,31.5,30.7,37.8,596,147,0.11779999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,34.25
ICICIBANK,1387,1430.0,30-06-2026,CALL,0.75,0.7,0.8,2819,259,0.1636,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.75
ICICIBANK,1387,1430.0,30-06-2026,PUT,39.7,38.8,47.05,31,13,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,42.925
ICICIBANK,1387,1440.0,30-06-2026,CALL,0.5,0.5,0.6,2081,610,0.1784,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.55
ICICIBANK,1387,1440.0,30-06-2026,PUT,50.4,48.85,60.2,67,104,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,54.525000000000006
ICICIBANK,1387,1450.0,30-06-2026,CALL,0.45,0.4,0.6,675,221,0.20170000000000002,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.5
ICICIBANK,1387,1450.0,30-06-2026,PUT,59.35,57.7,63.6,2,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,60.650000000000006
ICICIBANK,1387,1460.0,30-06-2026,CALL,0.4,0.35,0.4,295,116,0.22329999999999997,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.375
ICICIBANK,1387,1460.0,30-06-2026,PUT,70.6,68.7,73.5,18,47,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,71.1
ICICIBANK,1387,1470.0,30-06-2026,CALL,0.0,0.15,1.25,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.7
