underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
TCS,2095.9,2580.0,30-06-2026,PUT,451.0,479.95,495.85,5,10,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,487.9
TCS,2095.9,2600.0,30-06-2026,CALL,0.15,0.15,0.2,412,3021,0.6598999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.175
TCS,2095.9,2600.0,30-06-2026,PUT,507.0,505.9,510.55,163,1038,1.1168,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,508.225
TCS,2095.9,2620.0,30-06-2026,CALL,0.15,0.1,0.35,22,541,0.6809000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.22499999999999998
TCS,2095.9,2620.0,30-06-2026,PUT,494.0,523.25,536.2,1,6,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,529.725
TCS,2095.9,2640.0,30-06-2026,CALL,0.15,0.15,0.4,19,411,0.7017,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.275
TCS,2095.9,2640.0,30-06-2026,PUT,503.0,543.65,553.4,15,37,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,548.525
TCS,2095.9,2660.0,30-06-2026,CALL,0.2,0.15,0.25,11,607,0.7429000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.2
TCS,2095.9,2660.0,30-06-2026,PUT,522.0,561.65,574.85,1,3,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,568.25
TCS,2095.9,2680.0,30-06-2026,CALL,0.15,0.05,0.4,1,181,0.7426,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.225
TCS,2095.9,2680.0,30-06-2026,PUT,551.0,583.85,625.35,1,1,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,604.6
TCS,2095.9,2700.0,30-06-2026,CALL,0.2,0.1,0.2,83,833,0.7844,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.15000000000000002
TCS,2095.9,2700.0,30-06-2026,PUT,604.6,605.8,611.9,280,892,1.1699,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,608.8499999999999
TCS,2095.9,2720.0,30-06-2026,CALL,0.1,0.1,0.4,13,136,0.7541,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
TCS,2095.9,2720.0,30-06-2026,PUT,382.0,564.1,0.0,0,4,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,282.05
TCS,2095.9,2740.0,30-06-2026,CALL,1.0,0.1,0.4,0,6,0.4814,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
TCS,2095.9,2740.0,30-06-2026,PUT,0.0,577.15,721.55,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,649.3499999999999
TCS,2095.9,2760.0,30-06-2026,CALL,0.1,0.1,0.4,0,390,0.7779,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
TCS,2095.9,2760.0,30-06-2026,PUT,630.0,653.15,676.3,4,23,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,664.7249999999999
TCS,2095.9,2800.0,30-06-2026,CALL,0.15,0.1,0.25,57,1805,0.8604999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.175
TCS,2095.9,2800.0,30-06-2026,PUT,705.0,704.7,711.35,266,1396,1.3314,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,708.0250000000001
TCS,2095.9,2840.0,30-06-2026,CALL,0.25,0.2,0.25,222,696,0.9431999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.225
TCS,2095.9,2840.0,30-06-2026,PUT,745.55,740.25,748.3,1202,1521,1.413,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,744.275
TCS,2095.9,2960.0,30-06-2026,CALL,0.1,0.05,0.1,24,135,0.9722,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.07500000000000001
